#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
391,York (PA) Spartans,30,2.9%,2.5,2.1,0.838,0.8,0.6,1.4,45.2%,47.6%,20.3%,21.6%,13.5%,44.6%
392,Alfred State Pioneers,15,2.8%,2.5,1.6,0.632,1.4,0.6,2,30%,30%,10.5%,10.5%,0%,34.2%
393,SUNY Maritime Privateers,8,2.8%,2.5,2.3,0.9,0.9,1,1.9,53.3%,56.7%,20%,5%,5%,45%
394,Hamilton College,29,2.8%,2.6,2.4,0.946,0.9,1,1.9,50.9%,50.9%,13.5%,14.9%,9.5%,48.6%
395,Muhlenberg Mules,25,2.8%,2.3,2.3,1.018,0.7,0.8,1.5,51.4%,55.4%,15.8%,22.8%,15.8%,49.1%
396,University of Dallas,24,2.7%,2.4,1.4,0.579,1.3,0.4,1.8,23.8%,25%,12.3%,17.5%,8.8%,29.8%
397,Pitt Greensburg Bobcats,23,2.7%,2.2,2,0.9,0.7,0.6,1.3,46.7%,53.3%,26%,18%,16%,42%
398,La Roche Redhawks,27,2.7%,2.4,2.1,0.891,1.1,0.8,1.9,41.2%,45.1%,9.4%,10.9%,7.8%,42.2%
399,Susquehanna University Crusaders,24,2.6%,2.1,1.2,0.569,1,0.4,1.4,29.4%,29.4%,17.6%,15.7%,9.8%,31.4%
400,Chicago Maroons,25,2.6%,2.2,1.5,0.685,1.2,0.4,1.6,27.5%,30%,11.1%,16.7%,14.8%,33.3%
401,Gettysburg College Bullets,25,2.6%,1.9,1.6,0.812,1,0.7,1.6,41.5%,45.1%,10.4%,4.2%,4.2%,39.6%
402,Juniata,29,2.6%,2,2,0.983,0.7,0.8,1.4,52.4%,52.4%,13.8%,15.5%,13.8%,51.7%
403,St. Mary's (MD) Seahawks,26,2.5%,2,0.7,0.34,1.1,0.2,1.3,17.1%,17.1%,28.3%,7.5%,7.5%,17%
404,Wittenberg,30,2.5%,2,2.2,1.083,0.8,0.9,1.7,52.9%,56.9%,11.7%,10%,8.3%,48.3%
405,Brevard College Tornados,25,2.5%,2,1.6,0.765,0.8,0.6,1.4,41.7%,43.1%,17.6%,13.7%,9.8%,39.2%
406,DePauw University Tigers,26,2.5%,1.8,1.8,1,0.7,0.7,1.4,52.8%,55.6%,14.6%,16.7%,14.6%,47.9%
407,McDaniel Green Terror,24,2.5%,1.7,1.5,0.902,0.8,0.5,1.4,39.4%,45.5%,12.2%,14.6%,14.6%,39%
408,Alma Scots,26,2.4%,2,1.3,0.635,0.7,0.5,1.2,45.2%,46.8%,28.8%,11.5%,3.8%,32.7%
409,Mount St. Joseph Lions,26,2.4%,1.7,1.4,0.841,0.8,0.6,1.3,42.9%,44.3%,9.1%,15.9%,6.8%,40.9%
410,Bard College,25,2.4%,2.1,1.4,0.66,0.9,0.4,1.2,29%,30.6%,24.5%,18.9%,15.1%,34%
411,Rensselaer Polytechnic,25,2.4%,1.9,1.9,1,0.8,0.7,1.6,46.2%,50%,4.3%,17%,12.8%,51.1%
412,Scranton Royals,25,2.4%,1.8,1.2,0.667,0.8,0.4,1.1,32.1%,33.9%,17.8%,22.2%,11.1%,35.6%
413,Clarkson University Golden Knights,25,2.3%,1.9,1.4,0.745,0.8,0.5,1.3,39.4%,39.4%,17%,14.9%,6.4%,38.3%
414,Allegheny Gators,25,2.3%,1.9,1.8,0.936,0.8,0.6,1.4,45.7%,50%,14.9%,12.8%,8.5%,44.7%
415,Ursinus Bears,27,2.3%,1.9,1.4,0.731,0.8,0.6,1.3,41.7%,43.1%,23.1%,9.6%,5.8%,36.5%
416,North Carolina Wesleyan Battling Bishops,29,2.3%,2.2,1.8,0.81,1,0.5,1.5,34.9%,37.2%,17.5%,17.5%,15.9%,36.5%
417,Rochester (NY) Yellowjackets,25,2.2%,1.8,1.5,0.822,0.9,0.5,1.4,35.3%,36.8%,8.9%,17.8%,8.9%,42.2%
418,Wentworth Leopards,26,2.2%,1.8,1.2,0.652,0.9,0.3,1.2,25.8%,27.4%,17.4%,17.4%,13%,32.6%
419,Rowan University,27,2.2%,2,1.2,0.593,1.1,0.5,1.6,30.2%,33.7%,18.5%,3.7%,3.7%,25.9%
420,Franklin & Marshall Diplomats,29,2.2%,1.8,1.5,0.811,0.8,0.5,1.3,37.8%,41.9%,18.9%,15.1%,15.1%,35.8%
421,Carleton College Knights,26,2.2%,1.7,1.7,0.977,0.6,0.6,1.2,50%,53.3%,18.2%,18.2%,13.6%,47.7%
422,Bethany Lutheran College,30,2.1%,1.8,1.3,0.755,0.8,0.5,1.3,40%,42.5%,13.2%,11.3%,3.8%,37.7%
423,East Mennonite Royals,27,2.1%,1.8,1.6,0.857,0.6,0.4,1,39.3%,46.4%,24.5%,18.4%,12.2%,40.8%
424,Buena Vista Beavers,27,2.1%,1.7,1.1,0.644,0.8,0.4,1.2,34.4%,34.4%,15.6%,13.3%,4.4%,35.6%
425,Pfeiffer University Falcons,24,2%,2.2,1.8,0.792,0.7,0.6,1.3,46.7%,48.3%,30.2%,15.1%,13.2%,39.6%
426,Valley Forge Christian College Patriots,6,2%,1.7,1.7,1,0.7,0.5,1.2,42.9%,42.9%,10%,30%,30%,50%
427,Hamline Pipers,25,1.9%,1.5,0.7,0.459,0.8,0.2,1,23.1%,23.1%,24.3%,8.1%,5.4%,21.6%
428,Haverford Fords,24,1.9%,1.6,1.3,0.769,0.7,0.5,1.1,40.7%,42.6%,17.9%,12.8%,12.8%,41%
429,Middlebury College,27,1.9%,1.7,1,0.553,0.9,0.4,1.3,29.4%,30.9%,19.1%,10.6%,4.3%,27.7%
430,Washington (St. Louis) Bears,26,1%,0.9,1.1,1.217,0.3,0.4,0.7,61.1%,66.7%,13%,8.7%,0%,56.5%
431,Berkeley (NY) Knights,1,0.9%,1,1,1,0,0,0,-,-,0%,100%,100%,100%
432,Williams College Ephs,29,0.9%,0.7,0.7,0.95,0.1,0.2,0.3,60%,70%,30%,25%,10%,45%
